"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Funding Fee","Transaction Fee","Transaction Fee(BNB)","Opened","Closed","Status"
"MATICUSDT","Cross","Short","0.54630000","0.54450000","75.00000000","75.00000000","0.13500000","0E-8","-0.00819450","0E-8","2024-07-15 22:53:01.149","2024-07-15 23:03:36.765","Closed"
"MATICUSDT","Cross","Short","0.54810000","0.54630000","75.00000000","75.00000000","0.13500000","0E-8","-0.00822149","0E-8","2024-07-15 22:45:21.131","2024-07-15 22:51:47.252","Closed"
"MATICUSDT","Cross","Long","0.54110000","0.54020000","500.00000000","500.00000000","-0.45000000","0E-8","-0.18916000","0E-8","2024-07-15 21:13:05.640","2024-07-15 21:18:25.346","Closed"
"MATICUSDT","Cross","Short","0.53920000","0.54080000","75.00000000","75.00000000","-0.12000000","0E-8","-0.00808800","0E-8","2024-07-15 20:53:37.078","2024-07-15 21:11:26.748","Closed"
"MATICUSDT","Cross","Short","0.53360000","0.53490000","500.00000000","500.00000000","-0.65000000","0E-8","-0.05336000","0E-8","2024-07-15 19:31:18.440","2024-07-15 19:32:15.526","Closed"
"MATICUSDT","Cross","Long","0.53550000","0.53410000","500.00000000","500.00000000","-0.70000000","0E-8","-0.18707500","0E-8","2024-07-15 18:29:03.528","2024-07-15 18:35:28.455","Closed"
"MATICUSDT","Cross","Short","0.53330000","0.53430000","500.00000000","500.00000000","-0.50000000","0E-8","-0.13332500","0E-8","2024-07-15 17:49:27.249","2024-07-15 17:52:22.946","Closed"
"MATICUSDT","Cross","Long","0.53570000","0.53790000","250.00000000","250.00000000","0.55000000","0E-8","-0.06696249","0E-8","2024-07-15 16:22:32.783","2024-07-15 16:36:16.941","Closed"
"MATICUSDT","Cross","Long","0.53140000","0.53010000","75.00000000","75.00000000","-0.09750000","0E-8","-0.01992750","0E-8","2024-07-15 11:12:39.383","2024-07-15 11:26:53.435","Closed"
"MATICUSDT","Cross","Short","0.53190000","0.53170000","178.00000000","178.00000000","0.03559999","0E-8","-0.04733910","0E-8","2024-07-15 10:53:27.136","2024-07-15 11:11:19.072","Closed"
